 ,Area,Mean,Min,Max,Perim.,Circ.,AR,Round,Solidity
13936,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13937,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13938,0.052,0,0,0,0.781,1.000,2.000,0.500,1.000
13939,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13940,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13941,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13942,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13943,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13944,0.052,0,0,0,0.687,1.000,2.000,0.500,1.000
13945,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13946,0.105,0,0,0,1.602,0.513,3.850,0.260,0.571
13947,0.052,0,0,0,0.687,1.000,2.000,0.500,1.000
13948,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13949,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13950,0.210,0,0,0,2.802,0.335,1.323,0.756,0.471
13951,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13952,0.052,0,0,0,0.781,1.000,2.000,0.500,1.000
13953,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13954,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13955,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13956,0.052,0,0,0,0.781,1.000,2.000,0.500,1.000
13957,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13958,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13959,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
13960,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13961,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13962,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13963,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13964,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
13965,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13966,0.052,0,0,0,0.687,1.000,2.000,0.500,1.000
13967,0.079,0,0,0,1.144,0.754,2.702,0.370,0.667
13968,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13969,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13970,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13971,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13972,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13973,0.052,0,0,0,0.781,1.000,2.000,0.500,1.000
13974,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13975,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13976,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13977,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13978,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13979,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13980,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13981,0.157,0,0,0,2.250,0.390,3.505,0.285,0.522
13982,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13983,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13984,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13985,0.052,0,0,0,0.687,1.000,2.000,0.500,1.000
13986,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13987,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13988,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13989,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13990,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13991,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
13992,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13993,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13994,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13995,0.105,0,0,0,1.373,0.698,1.581,0.632,0.615
13996,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13997,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13998,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
13999,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14000,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14001,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14002,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14003,0.183,0,0,0,2.155,0.496,1.660,0.602,0.667
14004,0.341,0,0,0,4.538,0.208,2.167,0.462,0.464
14005,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14006,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14007,0.052,0,0,0,0.687,1.000,2.000,0.500,1.000
14008,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14009,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14010,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14011,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
14012,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14013,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14014,0.183,0,0,0,2.612,0.338,1.748,0.572,0.538
14015,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
14016,0.052,0,0,0,0.687,1.000,2.000,0.500,1.000
14017,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14018,0.052,0,0,0,0.781,1.000,2.000,0.500,1.000
14019,0.052,0,0,0,0.687,1.000,2.000,0.500,1.000
14020,0.105,0,0,0,1.144,1.000,1.468,0.681,0.800
14021,0.131,0,0,0,1.831,0.491,1.371,0.729,0.625
14022,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14023,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14024,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14025,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14026,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14027,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14028,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14029,0.079,0,0,0,0.916,1.000,1.464,0.683,0.857
14030,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14031,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14032,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
14033,0.052,0,0,0,0.687,1.000,2.000,0.500,1.000
14034,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
14035,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14036,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14037,0.131,0,0,0,2.289,0.314,2.366,0.423,0.455
14038,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14039,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14040,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14041,0.052,0,0,0,0.687,1.000,2.000,0.500,1.000
14042,0.131,0,0,0,1.373,0.873,2.308,0.433,0.769
14043,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14044,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
14045,0.052,0,0,0,0.781,1.000,2.000,0.500,1.000
14046,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14047,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14048,0.052,0,0,0,0.781,1.000,2.000,0.500,1.000
14049,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14050,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14051,0.052,0,0,0,0.687,1.000,2.000,0.500,1.000
14052,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14053,0.052,0,0,0,0.687,1.000,2.000,0.500,1.000
14054,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14055,0.052,0,0,0,0.916,0.785,2.646,0.378,0.667
14056,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14057,0.157,0,0,0,2.155,0.425,1.112,0.899,0.600
14058,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14059,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14060,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14061,0.052,0,0,0,0.781,1.000,2.000,0.500,1.000
14062,0.079,0,0,0,1.373,0.524,1.567,0.638,0.600
14063,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14064,0.026,0,0,0,0.458,1.000,1.000,1.000,1.000
14065,0.052,0,0,0,0.687,1.000,2.000,0.500,1.000
14066,0.157,0,0,0,1.697,0.686,2.119,0.472,0.800
14067,0.079,0,0,0,0.916,1.000,1.464,0.683,0.857
