 ,Area,Mean,Min,Max,Perim.,Circ.,AR,Round,Solidity
5556,4.086,0.808,0.529,1.000,10.309,0.483,3.205,0.312,0.848
5557,10.163,0.809,0.538,1.000,22.371,0.255,4.680,0.214,0.602
5558,4.950,0.787,0.534,1.000,12.441,0.402,3.870,0.258,0.836
5559,4.846,0.794,0.534,1.000,13.190,0.350,3.614,0.277,0.679
5560,15.218,0.910,0.528,1.000,22.338,0.383,2.543,0.393,0.791
5561,9.220,0.890,0.531,1.000,22.211,0.235,7.855,0.127,0.684
5562,9.167,0.868,0.541,1.000,15.802,0.461,2.241,0.446,0.816
5563,4.374,0.826,0.531,1.000,10.656,0.484,3.688,0.271,0.859
5564,67.629,0.828,0.526,1.000,133.217,0.048,2.306,0.434,0.186
5565,16.894,0.902,0.526,1.000,32.680,0.199,3.657,0.273,0.458
5566,12.153,0.831,0.528,1.000,20.759,0.354,4.419,0.226,0.758
5567,10.058,0.877,0.526,1.000,19.464,0.334,1.190,0.841,0.727
5568,7.910,0.859,0.526,1.000,17.895,0.310,5.582,0.179,0.803
5569,9.194,0.817,0.526,1.000,19.647,0.299,3.409,0.293,0.667
5570,9.246,0.866,0.526,1.000,15.691,0.472,1.986,0.504,0.841
5571,25.328,0.881,0.526,1.000,40.651,0.193,4.220,0.237,0.564
5572,29.860,0.878,0.530,1.000,38.268,0.256,5.802,0.172,0.712
5573,8.905,0.847,0.535,1.000,23.482,0.203,3.062,0.327,0.643
5574,25.066,0.799,0.526,1.000,41.380,0.184,9.417,0.106,0.692
5575,12.756,0.908,0.548,1.000,18.012,0.494,2.465,0.406,0.849
5576,5.369,0.792,0.526,1.000,14.958,0.302,7.107,0.141,0.790
5577,30.252,0.819,0.526,1.000,34.586,0.318,3.408,0.293,0.815
5578,5.317,0.855,0.538,1.000,13.497,0.367,1.811,0.552,0.686
5579,40.101,0.875,0.526,1.000,44.787,0.251,3.205,0.312,0.667
5580,7.779,0.727,0.527,0.857,17.980,0.302,6.949,0.144,0.746
5581,5.946,0.881,0.552,1.000,12.889,0.450,4.710,0.212,0.836
5582,21.242,0.798,0.526,1.000,37.225,0.193,4.093,0.244,0.651
5583,17.366,0.885,0.537,1.000,28.079,0.277,6.965,0.144,0.773
5584,17.261,0.877,0.526,1.000,28.037,0.276,3.671,0.272,0.542
